dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT100	Unrelated	INDEL	Metapneumovirus	0	Coronaviridae
FPRT100	Human	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Influenza	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Metapneumovirus	MM	Metapneumovirus	9759	Coronaviridae
FPRT100	Rhinovirus	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Sars_cov_2	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Unrelated	MM	Metapneumovirus	0	Coronaviridae
FPRT100	Human	EQUAL	pDiscarded	11	Coronaviridae
FPRT100	Influenza	EQUAL	pDiscarded	40	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	pDiscarded	23	Coronaviridae
FPRT100	Rhinovirus	EQUAL	pDiscarded	2	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	pDiscarded	21	Coronaviridae
FPRT100	Unrelated	EQUAL	pDiscarded	27	Coronaviridae
FPRT100	Human	INDEL	pDiscarded	0	Coronaviridae
FPRT100	Influenza	INDEL	pDiscarded	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	pDiscarded	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	pDiscarded	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	pDiscarded	1	Coronaviridae
FPRT100	Unrelated	INDEL	pDiscarded	0	Coronaviridae
FPRT100	Human	MM	pDiscarded	5	Coronaviridae
FPRT100	Influenza	MM	pDiscarded	50	Coronaviridae
FPRT100	Metapneumovirus	MM	pDiscarded	60	Coronaviridae
FPRT100	Rhinovirus	MM	pDiscarded	42	Coronaviridae
FPRT100	Sars_cov_2	MM	pDiscarded	112	Coronaviridae
FPRT100	Unrelated	MM	pDiscarded	11	Coronaviridae
FPRT100	Human	EQUAL	rc_discarded	9	Coronaviridae
FPRT100	Influenza	EQUAL	rc_discarded	14	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	rc_discarded	15	Coronaviridae
FPRT100	Rhinovirus	EQUAL	rc_discarded	2	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	rc_discarded	12	Coronaviridae
