filename class pp_0.95 reads prop_totalreads
SRR4427251 Human above 222675 53.3659
SRR4427251 Discarded above 194473 46.607
SRR4427251 rc_discarded above 24 0.0057518
SRR4427252 SARS-CoV-2 above 0 0
SRR4427252 Coronaviridae above 2 3.74513e-4
SRR4427252 Influenza above 0 0
SRR4427252 Metapneumovirus above 0 0
SRR4427252 Rhinovirus above 2013 0.376947
SRR4427252 Human above 220395 41.2704
SRR4427252 Discarded above 311455 58.322
SRR4427252 rc_discarded above 58 0.0108609
SRR4427253 SARS-CoV-2 above 0 0
SRR4427253 Coronaviridae above 2 5.38915e-4
SRR4427253 Influenza above 0 0
SRR4427253 Metapneumovirus above 0 0
SRR4427253 Rhinovirus above 2 5.38915e-4
SRR4427253 Human above 198852 53.5822
SRR4427253 Discarded above 172171 46.3928
SRR4427253 rc_discarded above 28 0.00754481
SRR4427254 SARS-CoV-2 above 0 0
SRR4427254 Coronaviridae above 1 1.43318e-4
SRR4427254 Influenza above 0 0
SRR4427254 Metapneumovirus above 0 0
SRR4427254 Rhinovirus above 2 2.86636e-4
SRR4427254 Human above 413503 59.2624
SRR4427254 Discarded above 284033 40.707
SRR4427254 rc_discarded above 50 0.0071659
SRR4427255 SARS-CoV-2 above 0 0
SRR4427255 Coronaviridae above 2 2.60453e-4
SRR4427255 Influenza above 0 0
SRR4427255 Metapneumovirus above 0 0
SRR4427255 Rhinovirus above 4 5.20906e-4
SRR4427255 Human above 449358 58.5183
SRR4427255 Discarded above 318301 41.4512
SRR4427255 rc_discarded above 57 0.00742291
SRR4427256 SARS-CoV-2 above 0 0
SRR4427256 Coronaviridae above 6 6.23434e-4
SRR4427256 Influenza above 0 0
SRR4427256 Metapneumovirus above 0 0
SRR4427256 Rhinovirus above 4 4.15622e-4
SRR4427256 Human above 636836 66.1708
SRR4427256 Discarded above 325193 33.7894
SRR4427256 rc_discarded above 84 0.00872807
SRR4427257 SARS-CoV-2 above 0 0
SRR4427257 Coronaviridae above 6 5.30938e-4
SRR4427257 Influenza above 0 0
SRR4427257 Metapneumovirus above 0 0
SRR4427257 Rhinovirus above 8 7.07917e-4
SRR4427257 Human above 798603 70.6681
SRR4427257 Discarded above 330998 29.2899
SRR4427257 rc_discarded above 112 0.00991084
SRR4427258 SARS-CoV-2 above 0 0
SRR4427258 Coronaviridae above 5 6.32156e-4
SRR4427258 Influenza above 0 0
SRR4427258 Metapneumovirus above 0 0
SRR4427258 Rhinovirus above 8 0.00101145
SRR4427258 Human above 525611 66.4536
SRR4427258 Discarded above 265004 33.5048
SRR4427258 rc_discarded above 92 0.0116317
SRR4427259 SARS-CoV-2 above 0 0
SRR4427259 Coronaviridae above 5 5.82296e-4
SRR4427259 Influenza above 0 0
SRR4427259 Metapneumovirus above 0 0
SRR4427259 Rhinovirus above 8 9.31673e-4
SRR4427259 Human above 619177 72.1088
SRR4427259 Discarded above 239145 27.8506
SRR4427259 rc_discarded above 78 0.00908382
SRR4427260 SARS-CoV-2 above 0 0
SRR4427260 Coronaviridae above 5 6.25847e-4
SRR4427260 Influenza above 0 0
SRR4427260 Metapneumovirus above 0 0
SRR4427260 Rhinovirus above 9 0.00112653
SRR4427260 Human above 558995 69.9691
SRR4427260 Discarded above 239608 29.9916
SRR4427260 rc_discarded above 67 0.00838635
SRR4427261 SARS-CoV-2 above 0 0
SRR4427261 Coronaviridae above 3 0.00047423400000000003
SRR4427261 Influenza above 0 0
SRR4427261 Metapneumovirus above 0 0
SRR4427261 Rhinovirus above 87 0.0137528
SRR4427261 Human above 363884 57.5221
SRR4427261 Discarded above 268463 42.4381
SRR4427261 rc_discarded above 33 0.00521657
SRR4427262 SARS-CoV-2 above 0 0
SRR4427262 Coronaviridae above 1 1.53783e-4
SRR4427262 Influenza above 0 0
SRR4427262 Metapneumovirus above 32 0.00492104
SRR4427262 Rhinovirus above 2 3.07565e-4
SRR4427262 Human above 367576 56.5268
SRR4427262 Discarded above 282470 43.4389
SRR4427262 rc_discarded above 50 0.00768913
SRR4427263 SARS-CoV-2 above 0 0
SRR4427263 Coronaviridae above 3 3.9684e-4
SRR4427263 Influenza above 0 0
SRR4427263 Metapneumovirus above 0 0
SRR4427263 Rhinovirus above 5 6.61399e-4
SRR4427263 Human above 477161 63.1188
SRR4427263 Discarded above 278517 36.8422
SRR4427263 rc_discarded above 75 0.00992099
SRR4427264 SARS-CoV-2 above 0 0
SRR4427264 Coronaviridae above 4 4.98508e-4
SRR4427264 Influenza above 0 0
SRR4427264 Metapneumovirus above 0 0
SRR4427264 Rhinovirus above 4 4.98508e-4
SRR4427264 Human above 474466 59.1313
SRR4427264 Discarded above 327695 40.8397
SRR4427264 rc_discarded above 46 0.00573284
SRR4427265 SARS-CoV-2 above 0 0
SRR4427265 Coronaviridae above 5 5.4928e-4
SRR4427265 Influenza above 0 0
SRR4427265 Metapneumovirus above 0 0
SRR4427265 Rhinovirus above 2 2.19712e-4
SRR4427265 Human above 675456 74.2029
SRR4427265 Discarded above 234414 25.7518
SRR4427265 rc_discarded above 101 0.0110955
SRR4427266 SARS-CoV-2 above 0 0
SRR4427266 Coronaviridae above 10 0.00122415
SRR4427266 Influenza above 0 0
SRR4427266 Metapneumovirus above 0 0
SRR4427266 Rhinovirus above 6 7.34492e-4
SRR4427266 Human above 537964 65.8551
SRR4427266 Discarded above 278618 34.1071
SRR4427266 rc_discarded above 72 0.00881391
SRR4427267 SARS-CoV-2 above 0 0
SRR4427267 Coronaviridae above 5 4.95065e-4
SRR4427267 Influenza above 105 0.0103964
SRR4427267 Metapneumovirus above 0 0
SRR4427267 Rhinovirus above 6 5.94078e-4
SRR4427267 Human above 749026 74.1633
SRR4427267 Discarded above 260281 25.7712
SRR4427267 rc_discarded above 153 0.015149
SRR4427268 SARS-CoV-2 above 0 0
SRR4427268 Coronaviridae above 4 3.54029e-4
SRR4427268 Influenza above 0 0
SRR4427268 Metapneumovirus above 0 0
SRR4427268 Rhinovirus above 11 9.7358e-4
SRR4427268 Human above 800440 70.8447
SRR4427268 Discarded above 328945 29.114
SRR4427268 rc_discarded above 109 0.00964729
SRR4427269 SARS-CoV-2 above 0 0
SRR4427269 Coronaviridae above 2 2.43448e-4
SRR4427269 Influenza above 0 0
SRR4427269 Metapneumovirus above 0 0
SRR4427269 Rhinovirus above 8 9.73792e-4
SRR4427269 Human above 374883 45.6322
SRR4427269 Discarded above 446363 54.3331
SRR4427269 rc_discarded above 72 0.00876412
SRR4427270 SARS-CoV-2 above 0 0
SRR4427270 Coronaviridae above 4 6.24316e-4
SRR4427270 Influenza above 0 0
SRR4427270 Metapneumovirus above 0 0
SRR4427270 Rhinovirus above 1065 0.166224
SRR4427270 Human above 281037 43.864
SRR4427270 Discarded above 356999 55.7201
SRR4427270 rc_discarded above 493 0.076947
SRR4427271 SARS-CoV-2 above 0 0
SRR4427271 Coronaviridae above 2 5.34229e-4
SRR4427271 Influenza above 0 0
SRR4427271 Metapneumovirus above 0 0
SRR4427271 Rhinovirus above 11 0.00293826
SRR4427271 Human above 198192 52.94
SRR4427271 Discarded above 176046 47.0245
SRR4427271 rc_discarded above 30 0.00801344
SRR4427272 SARS-CoV-2 above 0 0
