run	classifier	class	nreads	rproportion	study
SRR11412229	bwa	Influenza	0	0	SARS-CoV-2+_technical_replicate
SRR11412229	bwa	Metapneumovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412229	bwa	Rhinovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412229	bwa	Sars_cov_2	1832	0.048170278780229676	SARS-CoV-2+_technical_replicate
SRR11412229	kraken	Coronaviridae	0	0	SARS-CoV-2+_technical_replicate
SRR11412229	kraken	Influenza	2	5.2587640589770393e-5	SARS-CoV-2+_technical_replicate
SRR11412229	kraken	Metapneumovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412229	kraken	Rhinovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412229	kraken	Sars_cov_2	3825	0.10057386262793586	SARS-CoV-2+_technical_replicate
SRR11412230	pacific	Coronaviridae	29	7.762557810980111e-4	SARS-CoV-2+_technical_replicate
SRR11412230	pacific	Influenza	1	2.6767440727517625e-5	SARS-CoV-2+_technical_replicate
SRR11412230	pacific	Metapneumovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412230	pacific	Rhinovirus	51	0.001365139477103399	SARS-CoV-2+_technical_replicate
SRR11412230	pacific	Sars_cov_2	1747	0.04676271895097329	SARS-CoV-2+_technical_replicate
SRR11412230	bwa	Coronaviridae	0	0	SARS-CoV-2+_technical_replicate
SRR11412230	bwa	Influenza	1	2.6767440727517625e-5	SARS-CoV-2+_technical_replicate
SRR11412230	bwa	Metapneumovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412230	bwa	Rhinovirus	1	2.6767440727517625e-5	SARS-CoV-2+_technical_replicate
SRR11412230	bwa	Sars_cov_2	1790	0.04791371890225655	SARS-CoV-2+_technical_replicate
SRR11412230	kraken	Coronaviridae	0	0	SARS-CoV-2+_technical_replicate
SRR11412230	kraken	Influenza	2	5.353488145503525e-5	SARS-CoV-2+_technical_replicate
SRR11412230	kraken	Metapneumovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412230	kraken	Rhinovirus	0	0	SARS-CoV-2+_technical_replicate
SRR11412230	kraken	Sars_cov_2	3766	0.10080618177983139	SARS-CoV-2+_technical_replicate
SRR4427249	pacific	Coronaviridae	6	0.002204123915846549	GALA
SRR4427249	pacific	Rhinovirus	3	0.0011020619579232744	GALA
SRR4427249	pacific	Influenza	0	0	GALA
SRR4427249	pacific	Metapneumovirus	0	0	GALA
SRR4427249	pacific	Sars_cov_2	0	0	GALA
SRR4427249	bwa	Coronaviridae	0	0	GALA
SRR4427249	bwa	Rhinovirus	0	0	GALA
SRR4427249	bwa	Influenza	0	0	GALA
SRR4427249	bwa	Metapneumovirus	0	0	GALA
SRR4427249	bwa	Sars_cov_2	0	0	GALA
SRR4427249	kraken	Coronaviridae	0	0	GALA
SRR4427249	kraken	Rhinovirus	0	0	GALA
SRR4427249	kraken	Influenza	0	0	GALA
SRR4427249	kraken	Metapneumovirus	0	0	GALA
SRR4427249	kraken	Sars_cov_2	0	0	GALA
SRR4427250	pacific	Coronaviridae	2	8.752352194652313e-4	GALA
SRR4427250	pacific	Rhinovirus	2	8.752352194652313e-4	GALA
SRR4427250	pacific	Influenza	0	0	GALA
SRR4427250	pacific	Metapneumovirus	0	0	GALA
SRR4427250	pacific	Sars_cov_2	0	0	GALA
SRR4427250	bwa	Coronaviridae	0	0	GALA
SRR4427250	bwa	Rhinovirus	0	0	GALA
SRR4427250	bwa	Influenza	0	0	GALA
SRR4427250	bwa	Metapneumovirus	0	0	GALA
